metric,variant,game_length,seeds,decision_maker,style,focus,strategy,n,mean,sd,se,cv,sd_ucl,n_pairs,rho,mean_diff,p_holm,delta,n_unpaired,n_paired,n_paired_ucl
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Balanced,Placement,1200,0.23132277907277823,0.1828706708351714,0.005279021551678682,0.790543290064992,0.186111571930124,1200,0.2421568239447415,0.006110567673067668,1,0.022521221139971077,1053,798,827
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Balanced,Placement,1200,0.09662300431050454,0.13267051529967205,0.003829867886089601,1.3730737958977803,0.13502175082770368,1200,0.1373084938999373,-0.07259488890738905,1.5118114681396826e-36,0.03384357864357856,312,270,280
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Balanced,Placement,1200,11.471333333333355,42.240870660819056,1.2193889023414022,3.682298250202154,42.98947886218445,1200,0.18691864315916812,11.362333333333334,3.090152423166834e-11,10,309,252,261
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Aggressive,Balanced,Placement,1200,2.236666666666667,1.051741740858202,0.030361168860122422,0.4702273058978548,1.0703810937078835,1200,0.16598826392996244,-0.2575,1.9029144827026254e-09,0.24941666666666668,300,251,260
Win Rate,Japanese Riichi,Hanchan,500000..501199,Simple Bot (control),,,,1200,0.22296393137147769,0.14922485302361885,0.004307750453148434,0.6692779953498263,0.15186947059597028,,,,,,,,
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,Simple Bot (control),,,,1200,0.1703356648558144,0.1328640795492618,0.0038354556046699072,0.780013273566217,0.13521874549391286,,,,,,,,
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,Simple Bot (control),,,,1200,-1.4709999999999992,61.994736457678776,1.7896338891090373,42.14462029753828,63.09342991327443,,,,,,,,
Ending Placement,Japanese Riichi,Hanchan,500000..501199,Simple Bot (control),,,,1200,2.5320833333333335,1.1072642057823092,0.031963964363622664,0.43729374590711567,1.1268875481178127,,,,,,,,
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Speed,Points,1200,0.22502154998710827,0.13971994048230343,0.004033367262430819,0.6209180431399043,0.14219610850874412,1200,0.20180694652597506,0.002057618615630289,1,0.02229639313714777,660,527,546
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Speed,Points,1200,0.06826252685724468,0.07782625414362364,0.0022466504389920664,1.140102157460114,0.07920551956173692,1200,0.08614470573504862,-0.10207313799856972,5.171274982140393e-125,0.03406713297116288,161,149,154
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Speed,Points,1200,17.60566666666668,49.892608285431336,1.4402755412083166,2.8338948606754246,50.77682338719602,1200,0.22120981369962442,19.076666666666664,2.6570897104940473e-20,10,498,390,404
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Speed,Points,1200,2.1575,0.9900390048002428,0.028579964296482466,0.4588825051217811,1.0075848391325013,1200,0.17417740500273324,-0.3745833333333333,3.73525944283018e-21,0.25320833333333337,271,224,232
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Speed,Placement,1200,0.22455183274900842,0.1394653841518527,0.0040260188541353355,0.6210832592390344,0.14193704083764855,1200,0.22038249750820788,0.0015879013775306995,1,0.02229639313714777,659,514,533
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Speed,Placement,1200,0.06791769821094536,0.0789779291390575,0.002279896432423702,1.162847552544555,0.08037760496380782,1200,0.08914102353437388,-0.1024179666448689,2.7136897191995366e-125,0.03406713297116288,162,149,155
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Speed,Placement,1200,17.16166666666667,49.9851760899787,1.4429477435520024,2.91260616237615,50.8710317123241,1200,0.22612634548666458,18.63266666666666,1.257915769623109e-19,10,498,388,402
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Speed,Placement,1200,2.1791666666666667,0.9763590714584651,0.028185058636613892,0.44804240372855,0.9936624649950303,1200,0.1682595815049554,-0.35291666666666666,3.464727992717223e-19,0.25320833333333337,267,223,231
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Balanced,Points,1200,0.19169282412848648,0.12872966645768155,0.003716105379101659,0.6715413946397782,0.13101106081725944,1200,0.18278761835680038,-0.03127110724299102,1.3806888257627523e-08,0.02229639313714777,614,503,521
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Balanced,Points,1200,0.06777835644747433,0.08033200630490737,0.002318985273234049,1.185216203452228,0.08175567958178825,1200,0.10468493408935192,-0.10255730840833992,1.9414049393906686e-126,0.03406713297116288,164,148,154
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Balanced,Points,1200,13.775666666666675,49.61415434613181,1.432237268367742,3.601579186449424,50.49343458506338,1200,0.1965613497882121,15.246666666666664,1.3740868342191203e-13,10,495,400,415
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Balanced,Points,1200,2.245,0.9947610892506996,0.028716279132912834,0.4431007079067704,1.0123906100953772,1200,0.1232854568666001,-0.28708333333333336,9.845306959479623e-13,0.25320833333333337,272,238,247
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Balanced,Placement,1200,0.19600100559843273,0.13459126358876494,0.0038853151131772656,0.6866865972336683,0.13697653932239554,1200,0.19329002569840906,-0.026962925773044908,2.0889205225548965e-06,0.02229639313714777,638,515,534
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Balanced,Placement,1200,0.06781863398039896,0.08072265918277045,0.0023302624504437466,1.19027256146299,0.08215325575322177,1200,0.08377335349197594,-0.10251703087541536,1.1708194692142155e-123,0.03406713297116288,164,152,157
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Balanced,Placement,1200,16.502666666666677,52.49741557216909,1.5154698506175737,3.1811474249920653,53.42779402396237,1200,0.21705911168249925,17.973666666666645,1.0710966016820689e-17,10,518,408,422
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Defensive,Balanced,Placement,1200,2.1870833333333333,0.9929903580926369,0.028665162527374336,0.4540249303528917,1.0105884973903294,1200,0.1534527207845494,-0.345,5.14915754682286e-18,0.25320833333333337,271,230,238
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Speed,Points,1200,0.24277628022132736,0.14633383681553916,0.004224294003850115,0.6027517872921263,0.14892721873839304,1200,0.20084253289246273,0.019812348849849722,0.0019158817267202542,0.02229639313714777,690,552,571
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Speed,Points,1200,0.08071472962523686,0.08533052179204507,0.0024632799863364223,1.0571864910932565,0.08684278059355612,1200,0.13796988495055942,-0.0896209352305774,2.7711931551106075e-97,0.03406713297116288,169,148,153
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Speed,Points,1200,22.637666666666618,56.265932800263684,1.6242575724218815,2.4855005433538704,57.26309829644796,1200,0.22885349180922113,24.10866666666665,8.004095757669287e-29,10,551,425,441
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Speed,Points,1200,2.100416666666667,1.0127007432529331,0.02923415233628075,0.48214278591688936,1.0306481972250685,1200,0.1657781311363462,-0.43166666666666664,1.2890117307574513e-26,0.25320833333333337,276,231,239
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,0.24121796563214967,0.1436736170564705,0.004147500074150022,0.5956173980654847,0.14621985358913905,1200,0.20502974351420775,0.018254034260672108,0.00432950105183199,0.02229639313714777,678,539,558
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,0.0781058178756518,0.08522371267124046,0.002460196672604,1.0911314289918927,0.08673407856234118,1200,0.10522604999645463,-0.09222984698016251,1.278091915624461e-99,0.03406713297116288,169,153,158
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,20.237666666666655,53.14323868317588,1.5341131579670062,2.6259568140188714,54.08506264899308,1200,0.2196411895024826,21.70866666666667,1.8194952436376224e-24,10,524,410,425
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,2.1233333333333335,0.9961337548761007,0.02875590457632947,0.46913677623678207,1.0137876026044064,1200,0.14726280968159836,-0.40875,7.027246236633661e-24,0.25320833333333337,272,232,241
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,0.21033846504802456,0.1359398436677386,0.003924245266758226,0.6462909370223879,0.13834901943211014,1200,0.20029991878097933,-0.012625466323453077,0.09273530718815379,0.02229639313714777,644,516,534
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,0.08050345494646996,0.08680370511286997,0.002505807125678618,1.078260618386991,0.08834207220947132,1200,0.12634246599552285,-0.08983220990934429,7.452210275749859e-96,0.03406713297116288,171,151,157
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,19.75666666666665,53.963165291049044,1.5577824003555716,2.731390178389527,54.919520296912744,1200,0.21882457319503146,21.227666666666675,3.019634096685682e-23,10,531,416,431
Ending Placement,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,2.1504166666666666,1.0296277340773239,0.029722792471732366,0.47880382906134034,1.0478751743886927,1200,0.16036427389391467,-0.38166666666666665,5.6919049832633855e-21,0.25320833333333337,280,236,244
Win Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,0.21201192591450016,0.1366560371153261,0.00394491999074605,0.6445676889442367,0.13907790552263422,1200,0.18907278121734883,-0.010952005456977517,0.1870894137381689,0.02229639313714777,647,525,544
Deal-in Rate,Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,0.07986023542089749,0.08469649602741448,0.002444977239042291,1.0605590577216288,0.08619751839180068,1200,0.10894062361500444,-0.09047542943491674,1.0589404664942922e-96,0.03406713297116288,168,152,157
Ending Points (% vs start),Japanese Riichi,Hanchan,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,19.001333333333328,53.81114101469418,1.5533938375117295,2.8319665820658653,54.76480179057859,1200,0.21697721746322304,20.472333333333346,9.281299170476037e-22,10,529,416,431
